立案时间,火警地址,纬度,经度,地理编码状态
2025/1/31 19:42,浦东新区 周浦镇 万达广场 宁波银行门口马路边,31.115754,121.570452,成功
2025/1/31 19:28,浦东新区 祝桥镇 航亭环路225弄210室 上海品乐酒店管理有限公司（人密场所）（消防处置）（到场处置）,31.099491,121.765477,成功
2025/1/31 19:30,浦东新区 三林镇 玉泉街77弄7号302室(华夏小区)（消防处置）（到场处置）,31.163725,121.493931,成功
2025/1/31 14:31,浦东新区 高行镇 金京路 靠近 东靖路（驻防车出动）（消防处置）（到场处置）,31.293738,121.618952,成功
2025/1/31 14:24,浦东新区 泥城镇 霞光路 乾耀东港24号（微站处置）（到场未处置）,30.901891,121.803635,成功
2025/1/31 13:35,浦东新区 张江镇 孙农路200弄68号（驻防车出动）（消防处置）（到场处置）,31.177877,121.624487,成功
2025/1/31 12:59,浦东新区 三林镇 东书房路390弄84号4楼（居民处置）（到场处置）,31.164035,121.531897,成功
2025/1/31 11:28,浦东新区 三林镇 西营南路11弄 新华苑停车场（消防处置）（到场处置）,31.162031,121.485555,成功
2025/1/31 4:51,浦东新区 周浦镇 瑞浦路287弄中虹佳园东区70号401室（消防处置）（到场处置）,31.095692,121.585085,成功
2025/1/30 23:17,浦东新区 周浦镇 瑞浦路77弄(欧风家园北区)56号502室（居民处置）（到场处置）,31.098028,121.587451,成功
2025/1/30 21:44,浦东新区 曹路镇 华谐路 靠近 秦家港路（消防处置）（到场处置）,31.261266,121.665504,成功
2025/1/30 23:06,浦东新区 三林镇 和炯路 靠近 林展路 依水园一期8号13楼（居民处置）（到场处置）,31.123988,121.510091,成功
2025/1/30 21:01,浦东新区 高行镇 双桥路1139弄(东源名都)7号门口（驻防车出动）（消防处置）（到场处置）,31.283498,121.616122,成功
2025/1/30 20:33,浦东新区 张江镇 申江路 靠近 沔北路（驻防车出动）（微站处置）（到场未处置）,31.165477,121.629575,成功
2025/1/30 19:33,浦东新区 康桥镇 川周公路2907号（微站处置）（到场处置）,31.142042,121.613746,成功
2025/1/30 19:24,浦东新区 康桥镇 创业路87弄 康桥新苑 北面桥下（消防处置）（到场处置）,31.142913,121.612464,成功
2025/1/30 15:25,浦东新区 川沙新镇 润川路 靠近 川周公路 河边草地上（消防处置）（到场处置）,31.160969,121.660641,成功
2025/1/30 14:59,浦东新区 曹路镇 川沙路669号（消防处置）（到场处置）,31.275429,121.670686,成功
2025/1/30 14:29,浦东新区 周家渡街道 南码头路1349弄18-19号(齐河小区)（EB）（微站处置）（到场处置）,31.182086,121.51648,成功
2025/1/30 14:12,浦东新区 高桥镇 大同路449号2楼浙新大酒店（消防处置）（到场处置）,31.342061,121.579922,成功
2025/1/30 12:49,浦东新区 川沙新镇 大川公路 靠近 闻居西路（消防处置）（到场处置）,31.125417,121.739436,成功
2025/1/30 11:39,浦东新区 书院镇洼港村6组813号农村自建房（消防处置）（到场处置）,31.081564,121.569854,成功
2025/1/29 23:04,浦东新区 泥城镇 云汉路1096弄54号201室（居民处置）（到场未处置）,30.911409,121.804755,成功
2025/1/30 1:48,浦东新区 潍坊新村街道 潍坊四村440号303室（消防处置）（到场处置）,31.218283,121.524164,成功
2025/1/29 20:49,浦东新区 祝桥镇 思凡南苑 49号（微站处置）（到场未处置）,31.139788,121.752022,成功
2025/1/29 19:12,浦东新区 川沙新镇 吉灿路17弄 桥下（烟花）（消防处置）（到场处置）,31.110264,121.705687,成功
2025/1/29 20:32,浦东新区 曹路镇 凌空北路东靖路口（驻防车出动）（微站处置）（到场未处置）,31.247353,121.699145,成功
2025/1/29 19:12,浦东新区 新场镇 申江南路 大治河北岸（专职队处置）（到场处置）,31.078859,121.646794,成功
2025/1/29 19:06,浦东新区 祝桥镇星光村前进4组463号农村自建房（消防处置）（到场处置）,31.118518,121.750025,成功
2025/1/29 18:37,浦东新区 泥城镇横港村民生8队559号旁（消防处置）（到场处置）,30.918218,121.850848,成功
2025/1/29 18:15,浦东新区 书院镇桃园村新六763号（消防处置）（到场处置）,31.207135,121.693661,成功
2025/1/29 16:02,浦东新区 泥城镇龙港村5队641号（微站处置）（到场处置）,31.135956,121.700273,成功
2025/1/29 14:16,浦东新区 南汇新城镇 世纪塘路 南汇嘴观海附近 堤顶路上（消防处置）（到场处置）,30.874434,121.961537,成功
2025/1/29 12:55,浦东新区 周浦镇 年家浜路339弄 停车场(中园小区)（居民处置）（到场处置）,31.11397,121.576683,成功
2025/1/29 7:24,浦东新区 洋泾街道 栖山路114号603室（消防处置）（到场处置）,31.242911,121.543628,成功
2025/1/29 3:54,浦东新区 洋泾街道 洋泾镇路89弄20号103室（消防处置）（到场处置）,31.241762,121.550338,成功
2025/1/29 2:54,浦东新区 宣桥镇 闵家浜路80弄22支弄7号1003室（居民处置）（到场未处置）,31.074859,121.721851,成功
2025/1/29 1:41,浦东新区 南汇新城镇 环湖南二路 靠近 小桉路（消防处置）（到场处置）,30.889423,121.963257,成功
2025/1/29 0:48,浦东新区 川沙新镇 川环南路148弄小区北门处（消防处置）（到场处置）,31.207135,121.693661,成功
2025/1/29 0:29,浦东新区 曹路镇 华东路 靠近 东靖路(烟花)（消防处置）（到场处置）,31.207135,121.693661,成功
2025/1/29 0:22,浦东新区 川沙新镇 川滨路 川虹新苑内 东南角最东侧一幢 树和草丛 近运盐河路（烟花）（微站处置）（到场未处置）,31.179926,121.714951,成功
2025/1/29 0:21,浦东新区 康桥镇 东明路 靠近 秀沿西路桥上（消防处置）（到场处置）,31.207135,121.693661,成功
2025/1/28 23:56,浦东新区 惠南镇 拱川路 靠近 听云路（居民处置）（到场未处置）,31.067618,121.75199,成功
2025/1/28 23:51,浦东新区 航头镇 航鹤路999弄391号（消防处置）（到场处置）,31.041389,121.585039,成功
2025/1/28 23:47,浦东新区 南码头街道 东三里桥路 靠近 胶南路（消防处置）（到场处置）,31.199633,121.509586,成功
2025/1/28 23:23,浦东新区 万祥镇新建村4队221号（居民处置）（到场未处置）,31.214008,121.725286,成功
2025/1/28 23:10,浦东新区 周浦镇 周秀路398弄10号楼旁边（驻防车出动）（居民处置）（到场处置）,31.09368,121.606395,成功
2025/1/28 22:58,浦东新区 高桥镇 陆凌新村23号 对面 石油新村（阳台）（消防处置）（到场处置）,31.348461,121.562661,成功
2025/1/28 22:30,浦东新区 航头镇 鹤沙路 金沁苑南区 13号802室（烟花）（驻防车出动）（阳台）（消防处置）（到场处置）,31.078396,121.60284,成功
2025/1/28 22:22,浦东新区 康桥镇 康新公路 靠近 康科路（消防处置）（到场处置）,31.135568,121.608188,成功
2025/1/28 21:55,浦东新区 周家渡街道 上南三村86号503室（居民处置）（到场处置）,31.174456,121.499236,成功
2025/1/28 21:55,浦东新区 三林镇 林恒路 靠近 林瞿路 路口北面（烟花）（消防处置）（到场处置）,31.118087,121.518949,成功
2025/1/28 21:12,浦东新区 周浦镇 公元三村 垃圾房（微站处置）（到场未处置）,31.121387,121.574862,成功
2025/1/28 21:04,浦东新区 惠南镇 项文路333弄20号1402室楼顶（消防处置）（到场处置）,31.04577,121.719325,成功
2025/1/28 20:57,浦东新区 航头镇 航定路 靠近 航梅路 聚航苑95号旁边停车场（居民处置）（到场处置）,31.029903,121.57926,成功
2025/1/28 20:55,浦东新区 宣桥镇 名望路 靠近 名园路（消防处置）（到场处置）,31.207135,121.693661,成功
2025/1/28 20:52,浦东新区 新场镇 沪南公路7406弄14号旁边垃圾房（消防处置）（到场处置）,31.028872,121.648516,成功
2025/1/28 20:49,浦东新区 老港镇 中港村中港2组1040号（微站处置）（到场未处置）,31.040254,121.83561,成功
2025/1/28 20:47,浦东新区 航头镇 环镇南路出口处（微站处置）（到场处置）,31.019177,121.589282,成功
2025/1/28 20:42,浦东新区 宣桥镇 笋王路 靠近 杨辉路（消防处置）（到场处置）,31.026261,121.662352,成功
2025/1/28 20:37,浦东新区 大团镇 赵桥村柴场8组646号（居民处置）（到场处置）,30.986038,121.738706,成功
2025/1/28 20:24,浦东新区 祝桥镇 千汇路1280弄33号12楼（消防处置）（到场处置）,31.127559,121.762963,成功
2025/1/28 20:19,浦东新区 周浦镇 瑞安路 靠近 瑞阳路（微站处置）（到场处置）,31.095794,121.589375,成功
2025/1/28 20:15,浦东新区 惠南镇 南汇汽车站旁边垃圾桶（其他社会力量处置）（到场未处置）,31.046742,121.764046,成功
2025/1/28 20:14,浦东新区 周浦镇 梓康路59弄175号（燃烧物燃尽）（到场未处置）,31.122365,121.572541,成功
2025/1/28 19:46,浦东新区 惠南镇 拱极路4100弄32号建新苑南苑1104室（消防处置）（到场处置）,31.054452,121.743952,成功
2025/1/28 19:40,浦东新区 万祥镇 新建村6组463号（消防处置）（到场处置）,31.081564,121.569854,成功
2025/1/28 19:27,浦东新区 川沙新镇 六灶镇其成村4组469号（消防处置）（到场处置）,31.022623,121.775526,成功
2025/1/28 19:19,浦东新区 康桥镇 康浦路 靠近 康弘路（烟花）（消防处置）（到场处置）,31.121263,121.600121,成功
2025/1/28 19:21,浦东新区 川沙新镇 学北路337弄(曙光东苑)（消防处置）（到场处置）,31.207135,121.693661,成功
2025/1/28 19:11,浦东新区 航头镇 兴城路18弄30号1楼(富田花苑)（消防处置）（到场处置）,31.028978,121.596096,成功
2025/1/28 19:09,浦东新区 川沙新镇 大洪佳苑 大门口对面（消防处置）（到场处置）,31.207135,121.693661,成功
2025/1/28 19:04,浦东新区 南汇新城镇 江山路1889弄临港17区火柴打击乐（消防处置）（到场处置）,30.869252,121.853823,成功
2025/1/28 18:56,浦东新区 惠南镇观海路1588弄 东南门 桥边（微站处置）（到场未处置）,31.065631,121.783585,成功
2025/1/28 19:00,浦东新区 祝桥镇 海霞路135弄南门（居民处置）（到场未处置）,31.167255,121.735948,成功
2025/1/28 18:41,浦东新区 合庆镇直属村270号（消防处置）（到场处置）,31.207135,121.693661,成功
2025/1/28 18:36,浦东新区 川沙新镇陈桥村135号门口（烟花）(到场处置),31.144572,121.691233,成功
2025/1/28 18:31,浦东新区 新场镇祝桥村6组519号（烟花）（微站处置）（到场处置）,31.081564,121.569854,成功
2025/1/28 18:24,浦东新区 康桥镇 康沈路515号 如家快捷酒店（消防处置）（到场处置）,31.137331,121.572549,成功
2025/1/28 18:09,浦东新区 宣桥镇 宣航路 靠近 宣中路 往南到底（消防处置）（到场处置）,31.021945,121.700977,成功
2025/1/28 18:06,浦东新区 合庆镇跃丰村2队 群丰农场仓库南侧（专职队处置）（到场处置）,31.228571,121.715371,成功
2025/1/28 18:08,浦东新区 南汇新城镇 海尚明徕苑 小区后面公园内（居民处置）（到场处置）,30.873274,121.858865,成功
2025/1/28 17:45,浦东新区 泥城镇海关村806号（消防处置）（到场处置）,31.207135,121.693661,成功
2025/1/28 15:10,浦东新区 张江镇 环科路 靠近 纳贤路（其他社会力量处置）（到场处置）,31.167664,121.606145,成功
2025/1/28 14:48,浦东新区 康桥镇 林海公路 靠近 年家浜路 近康涵路（消防处置）（到场处置）,31.116754,121.548574,成功
2025/1/28 14:01,浦东新区 祝桥镇 新营村张朱家宅40号农村自建房（消防处置）（到场处置）,31.196975,121.751978,成功
2025/1/28 13:06,浦东新区 周浦镇 周祝公路 靠近 水产路（燃烧物质燃尽）（到场未处置）,31.108682,121.648668,成功
2025/1/28 12:06,浦东新区 洋泾街道 羽山路801弄(巨东小区)17号门口树（微站处置）（到场处置）,31.235303,121.550447,成功
2025/1/28 11:58,浦东新区 曹路镇 东靖路 靠近 金钻路（消防处置）（到场处置）,31.282267,121.675858,成功
2025/1/28 11:20,浦东新区 惠南镇永乐村11组1151号 靠近 下盐路（消防处置）（到场处置）,30.88128,121.843079,成功
2025/1/28 11:11,浦东新区 新场镇 大治河 靠近 S3（消防处置）（到场处置）,31.207135,121.693661,成功
2025/1/28 10:53,浦东新区 潍坊新村街道 浦城路580弄18号2楼平台（驻防车出动）（居民处置）（到场未处置）,31.225174,121.514624,成功
2025/1/28 10:21,浦东新区 陆家嘴街道 招远路 靠近 即墨路（祭扫）（驻防车出动）（居民处置）（到场未处置）,31.240715,121.511729,成功
2025/1/28 0:04,浦东新区 川沙新镇 城南曙光停车内 生活垃圾分类收集站（消防处置）（到场处置）,31.207135,121.693661,成功
2025/1/27 23:12,浦东新区 川沙镇 七灶村西5队北张家宅12号门口（燃烧物燃尽）（到场未处置）,31.140287,121.705554,成功
2025/1/27 22:23,浦东新区 惠南镇 城南路 绿地峰汇（消防处置）（到场处置）,31.207135,121.693661,成功
2025/1/27 22:22,浦东新区 康桥镇 林海公路 靠近 秀沿西路（烟花）（消防处置）（到场处置）,31.129567,121.536582,成功
2025/1/27 21:38,浦东新区 曹路镇 华东路 靠近 顾路中学民冬校区（烟花）（消防处置）（到场处置）,31.288125,121.659368,成功
2025/1/27 21:33,浦东新区 新场镇 杨辉路 靠近 沪南公路（烟花）（微站处置）（到场未处置）,31.030616,121.658366,成功
2025/1/27 21:05,浦东新区 南码头街道 临沂路301弄26号401室(临沂五村)（居民处置）（到场未处置）,31.191322,121.511267,成功
2025/1/27 20:51,浦东新区 惠南镇 拱极路2626弄(新凤凰城)B区10号802室（消防处置）（到场处置）,31.064767,121.86696,成功
2025/1/27 20:39,浦东新区 机场镇东滨村张家宅21号旁边（消防处置）（到场处置）,31.170595,121.762506,成功
2025/1/27 20:37,浦东新区 康桥镇 秀沿路866弄35号门口（消防处置）（到场处置）,31.136383,121.570588,成功
2025/1/27 20:19,浦东新区 惠南镇 听云路238弄飞鸿苑西苑北面空地上（消防处置）（到场处置）,31.067384,121.751901,成功
2025/1/27 20:14,浦东新区 三林镇 三旋路506弄(绿波家园)东面马路对面（烟花）（消防处置）（到场处置）,31.119377,121.503,成功
2025/1/27 19:43,浦东新区 川沙新镇 齐芳路靠近 华东路 路口（烟花）（居民处置）（到场处置）,31.204643,121.675852,成功
2025/1/27 19:40,浦东新区 康桥镇 沿南小区 东面康达路（烟花）（消防处置）（到场处置）,31.121959,121.596643,成功
2025/1/27 19:37,浦东新区 周浦镇 韵涛路36弄对面工地（烟花）（消防处置）（到场处置）,31.10345,121.587784,成功
2025/1/27 19:37,浦东新区 惠南镇 城西路 靠近 汇成路口（消防处置）（到场处置）,31.207135,121.693661,成功
2025/1/27 19:26,浦东新区 川沙新镇 勤川路 靠近 德川路（烟花）（消防处置）（到场处置）,31.19209,121.66944,成功
2025/1/27 18:56,浦东新区 康桥镇 秀沿路1155弄308号斜对面(康桥半岛新城)（居民处置）（到场未处置）,31.143002,121.574103,成功
2025/1/27 18:55,浦东新区 合庆镇 前哨村徐家宅6队（居民处置）（到场未处置）,31.202653,121.760408,成功
2025/1/27 18:50,浦东新区 惠南镇 靖海路 靠近 拱晨路 红光花苑门口（微站到场）（到场未处置）,31.063548,121.771583,成功
2025/1/27 18:45,浦东新区 航头镇 长达村20组竹林（消防处置）（到场处置）,31.207135,121.693661,成功
2025/1/27 18:36,浦东新区 周浦镇 韵涛路36弄丰和雅苑17号 靠近 周东路（消防处置）（到场处置）,31.10345,121.587784,成功
2025/1/27 18:19,浦东新区 唐镇 玉盘南路 靠近 齐芳路（烟花）（居民处置）（到场未处置）,31.204643,121.675852,成功
2025/1/27 17:58,浦东新区 周浦镇 周祝公路 靠近 杨家南路 北面100米（燃烧物燃尽）（到场未处置）,31.115307,121.673164,成功
2025/1/27 16:33,浦东新区 川沙新镇 城丰路130弄(上浦小区)小区里面（微站处置）（到场未处置）,31.190777,121.688191,成功
2025/1/27 13:30,浦东新区 新场镇 沪南公路 靠近 新环西路 靠近 公交车站（专职队处置）（到场未处置）,31.022463,121.639936,成功
2025/1/27 12:08,浦东新区 泥城镇 彭平东路 靠近 玉宇路 （消防处置）（到场处置）,30.906671,121.800554,成功
2025/1/27 9:51,浦东新区 周浦镇 年家浜路28弄(逸亭佳苑)1号902室（消防处置）（到场处置）,31.114407,121.586008,成功
2025/1/26 19:28,浦东新区 祝桥镇 东港公路2902号东侧50米（消防处置）（到场处置）,31.083235,121.818501,成功
2025/1/26 16:47,浦东新区 康桥镇 康桥路1123弄6号(康桥华庭)（驻防车出动）（居民处置）（到场未处置）,31.134511,121.580145,成功
2025/1/26 15:01,浦东新区 书院镇 临港大道 靠近 两港大道（祭扫）（居民处置）（到场未处置）,30.906001,121.882084,成功
2025/1/26 10:10,浦东新区 浦兴路街道 东陆路898弄 70号3楼或4楼 楼道内（祭扫）（驻防车出动）（居民处置）（到场未处置）,31.273345,121.591536,成功
2025/1/26 6:21,浦东新区 周家渡街道 雪野路35号 优马卡丁车有限公司（消防处置）（到场处置）,31.181957,121.494502,成功
2025/1/25 21:37,浦东新区 惠南镇六灶湾村友爱442号（居民处置）（到场未处置）,31.018506,121.765402,成功
2025/1/25 20:40,浦东新区 华夏二路 靠近 平川路,31.179953,121.696366,成功
2025/1/25 20:38,浦东新区 玉盘北路288弄15号1002室 18621918938,31.225646,121.672371,成功
2025/1/25 20:36,浦东新区 大团镇周埠村 周埠路旁,30.996696,121.77125,成功
2025/1/25 20:31,浦东新区 三林镇 沐秀路 靠近 乔桉路（烟花）（微站处置）（到场未处置）,31.127844,121.530568,成功
2025/1/25 20:26,浦东新区 唐镇镇 龙东大道3800弄(棕榈泉花园)56号（消防处置）（到场处置）,31.226685,121.651732,成功
2025/1/25 19:39,浦东新区 新场镇 众安路879弄01号8楼（其他社会力量处置）（到场未处置）,31.029135,121.658232,成功
2025/1/25 18:25,浦东新区 新场镇 石笋东街 万科清林径别墅区南大门对面（祭扫）（居民处置）（到场未处置）,31.024297,121.65645,成功
2025/1/25 16:07,浦东新区 泥城镇 池月路678弄3号201室（居民处置）（到场处置）,30.907693,121.811979,成功
2025/1/25 16:01,浦东新区 张江镇 御桥路 靠近 金科路（微站处置）（到场未处置）,31.155317,121.558395,成功
2025/1/25 14:07,浦东新区 祝桥镇星光村9组553号 靠近 公交站台（微站处置）（到场未处置）,31.115828,121.770434,成功
2025/1/25 14:00,浦东新区 航头镇 环镇南路78号（消防处置）（到场处置）,31.01951,121.591541,成功
2025/1/25 11:19,浦东新区 航头镇 航鹤路78弄边上文化广场的公园（消防处置）（到场处置）,31.025187,121.58855,成功
2025/1/25 4:42,浦东新区 康桥镇 康桥东路1159弄105号 松港产业园（消防处置）（到场处置）,31.160203,121.634721,成功
2025/1/24 23:21,浦东新区 惠南镇 听潮四村26号（微站处置）（到场未处置）,31.04735,121.744946,成功
2025/1/24 17:56,浦东新区 张江镇 紫薇路750弄9号301室(兰沁苑)（经核实无需消防处置）（到场未处置）,31.206538,121.623853,成功
2025/1/24 14:37,浦东新区 金杨新村街道 栖山路1555弄34号301室(金樟花苑)（消防处置）（到场处置）,31.258536,121.564753,成功
2025/1/24 13:25,浦东新区 祝桥镇 南祝路5115号 靠近 天竹路（消防处置）（到场处置）,31.113347,121.756953,成功
2025/1/24 1:06,浦东新区 高东镇 竞赛村 顾高公路桥边上（驻防车出动）（微站处置）（到场处置）,31.299436,121.64936,成功
2025/1/23 22:19,浦东新区 三林镇 绿波家园2号地下车库（自动喷淋装置作用）（到场处置）,31.119043,121.501564,成功
2025/1/23 21:57,浦东新区 南码头路街道 东方路1881弄东方城市花园二期79号地下1层（EB）（自动喷淋装置作用）（到场未处置）,31.204339,121.519126,成功
2025/1/23 21:52,浦东新区 川沙新镇 川银路150弄16号(烟花)（消防处置）（到场处置）,31.192653,121.688564,成功
2025/1/23 21:52,浦东新区 康桥镇 秀沿西路 靠近 康颂路口（烟花）（消防处置）（到场处置）,31.129567,121.536582,成功
2025/1/23 21:30,浦东新区 祝桥镇 海霞路685弄 海霞佳苑小花园内 靠近 川南奉公路（消防处置）（到场处置）,31.049175,121.775558,成功
2025/1/23 18:00,浦东新区 南汇新城镇 广祥路18号 集卡服务中心附近（消防处置）（到场处置）,30.890678,121.862316,成功
2025/1/23 16:51,浦东新区 周浦镇 康恩路 靠近 康普路（消防处置）（到场处置）,31.207135,121.693661,成功
2025/1/23 14:59,浦东新区 祝桥镇 星火村小桥17组749号（消防处置）（到场处置）,31.07839,121.783898,成功
2025/1/23 14:41,浦东新区 高桥镇 新农村北项湾134号农村自建房（消防处置）（到场处置）,31.36178,121.555215,成功
2025/1/23 13:38,浦东新区 高东镇 高东馨苑15号楼401室（祭扫）（居民处置）（到场未处置）,31.329127,121.616911,成功
2025/1/23 12:06,浦东新区 航头镇 沪南公路5838号 上海五同同步带有限公司（消防处置）（到场处置）,31.027829,121.612599,成功
2025/1/23 10:38,浦东新区 高桥镇 张杨北路5568弄 弄堂内（居民处置）（到场处置）,31.343949,121.574461,成功
2025/1/23 10:07,浦东新区 航头镇 鹤沙路226弄鹤沙航城金沁苑北区12号1503室（驻防车出动）（消防处置）（到场处置）,31.08298,121.59791,成功
2025/1/23 9:36,浦东新区 周家渡街道 东明路383弄35号门口（祭扫）（经核实无需消防处置）,31.18252,121.510785,成功
2025/1/23 8:34,浦东新区 宣桥镇 下盐路 靠近 六奉公路 靠北（消防处置）（到场处置）,31.055193,121.69222,成功
2025/1/22 22:53,浦东新区 三林镇 蕉叶路 靠近 沐音路（消防处置）（到场处置）,31.131681,121.529358,成功
2025/1/22 20:49,浦东新区 惠南镇 康锦路 靠近 靖海南路（微站处置）（到场处置）,31.035521,121.767889,成功
2025/1/22 22:02,浦东新区 高行镇 德爱路380弄4号403室（燃烧物燃尽）（到场未处置）,31.300336,121.586184,成功
2025/1/22 20:29,浦东新区 周浦镇 沈梅东路209号A区02号 东北烧烤炒菜（九小场所—餐饮）（消防处置）（到场处置）,31.093134,121.587101,成功
2025/1/22 19:56,浦东新区 惠南镇 靖海南路567弄41号6楼（居民处置）（到场未处置）,31.034928,121.767997,成功
2025/1/22 14:46,浦东新区 北蔡镇 沪南路1087弄室外垃圾房旁边（驻防车出动）（居民处置）（到场未处置）,31.180418,121.555384,成功
2025/1/22 13:50,浦东新区 沪东新村街道 博兴路 博一小区内 小广场上（居民处置）（到场未处置）,31.266251,121.584578,成功
2025/1/22 9:19,浦东新区 金杨新村街道 栖山路1555弄 金樟花苑 32号903室（消防处置）（到场处置）,31.258536,121.564753,成功
2025/1/22 8:37,浦东新区 惠南镇团结村4组266号（到场未处置）,31.022623,121.775526,成功
2025/1/21 21:40,浦东新区 周浦镇 川周公路4293弄(文馨园)16号门口（居民处置）（到场未处置）,31.120432,121.581226,成功
2025/1/21 19:41,浦东新区 北蔡镇 北中路280弄19号202室(莲中二村)（祭扫）（驻防车出动）（燃烧物质燃烬）（到场未处置）,31.180101,121.55853,成功
2025/1/21 16:59,浦东新区 唐镇镇 虹盛路250弄12号202室（到场未处置）,31.241524,121.681001,成功
2025/1/21 12:42,浦东新区 花木街道 芳芯路251弄19号303室（消防处置）（到场处置）,31.192164,121.556512,成功
2025/1/21 11:52,浦东新区 曹路镇 东川公路 靠近 讯建路（消防处置）（到场处置）,31.278842,121.686378,成功
2025/1/21 10:50,浦东新区 川沙新镇 新德西路508弄(舒馨北苑)16号楼2楼（祭扫）（居民处置）（到场未处置）,31.190662,121.667465,成功
2025/1/21 8:40,浦东新区 书院镇 三三公路 滨海森林公园南门口（燃烧物质燃尽）（到场未处置）,30.963203,121.91092,成功
2025/1/20 18:12,浦东新区 张江镇 申江路5005弄2号楼北侧外墙 上海筱贝信息科技有限公司（消防处置）（到场处置）,31.209585,121.626638,成功
